feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Thymidine	IIRN_Flare	never_flared	2.8560849883166	0.545025290091882	212	188	5.05924875906575e-06	0.00604074301832451
cis.11.Eicosenoic.acid	IIRN_Flare	never_flared	1.26980620002031	0.266651050003092	212	212	2.39997865794904e-05	0.0143278725879558
Oleic.acid	IIRN_Flare	never_flared	1.40504527908767	0.319557935657353	212	212	7.39523568717664e-05	0.0220747785262223
Succinic.Acid	IIRN_Flare	never_flared	-1.8572927850903	0.420433986167131	212	212	7.17612425247089e-05	0.0220747785262223
Benzyl.Alcohol	IIRN_Flare	never_flared	2.52366771279723	0.619827372198698	212	189	0.00019931971893409	0.0475975488814606
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.908978842369184	0.225474464681538	212	206	0.000292939493029025	0.054158208858274
Dimethylarginine	Gender	Male	1.53658585418945	0.394600413141	212	211	0.000408227704961865	0.054158208858274
Sarcosine	Gender	Male	-0.798966636507776	0.221232307365843	212	178	0.0003829212388754	0.054158208858274
Trimethyllysine	IIRN_Flare	never_flared	-1.57826701910378	0.409747052476742	212	212	0.000397741974097043	0.054158208858274
N.Acetylmethionine	Gender	Male	-0.833147926320503	0.217996954277624	212	211	0.000509889696428449	0.0608808297535568
X5.Deoxyadenosine	IIRN_Flare	never_flared	1.00549622178184	0.288267666828425	212	210	0.00114607301762645	0.0851615769781466
Biotin	IIRN_Flare	never_flared	0.850950137580035	0.247655411482741	212	212	0.00126586019700556	0.0851615769781466
cis.10.Nonadecenoic.acid	IIRN_Flare	never_flared	0.896271638081544	0.273861452721611	212	203	0.00124999692948449	0.0851615769781466
Methylarginine	Gender	Male	0.994635356699466	0.276760470681719	212	178	0.00108078437280521	0.0851615769781466
Myo.Inositol	IIRN_Flare	never_flared	-1.10592732733028	0.321595946515299	212	212	0.00128384286901729	0.0851615769781466
Pentadecanoic.acid	IIRN_Flare	never_flared	1.18242789344871	0.333918772900301	212	212	0.00105973502856025	0.0851615769781466
Taurine	IIRN_Flare	never_flared	-3.45988775162138	0.978299258167255	212	209	0.00102380942353194	0.0851615769781466
Trimethyllysine	Gender	Male	1.16932647409232	0.325920826781094	212	212	0.000984158991030735	0.0851615769781466
X14.Methylhexadecanoic.acid	IIRN_Flare	never_flared	0.793469603339311	0.232820479257585	212	212	0.00149060981470099	0.0906139841440527
Allothreonine	Gender	Male	-0.637362063791425	0.194381344477704	212	194	0.00279205687933894	0.0906139841440527
Cis.4.Hydroxy.D.Proline	Gender	Male	0.760661698381765	0.225171475961926	212	212	0.00193081501099289	0.0906139841440527
Creatine	IIRN_Flare	never_flared	-2.11130751425029	0.644748234027201	212	212	0.00215702829105442	0.0906139841440527
D.Pinitol	IIRN_Flare	never_flared	-1.09235160552767	0.347399644387661	212	202	0.00278279987378982	0.0906139841440527
D.Sedoheptulose	IIRN_Flare	never_flared	-1.20856384838377	0.372122359730323	212	174	0.00216628886832326	0.0906139841440527
Erucic.acid	IIRN_Flare	never_flared	2.09684993801677	0.65397449616091	212	160	0.00232108317114975	0.0906139841440527
Fructose	IIRN_Flare	never_flared	-1.0748722875018	0.329505658175617	212	212	0.00241615310593782	0.0906139841440527
Malonate	IIRN_Flare	never_flared	-0.693436669817553	0.207380420342156	212	212	0.00162179814306125	0.0906139841440527
Melatonin	IIRN_Flare	never_flared	2.47476896851634	0.779845811596776	212	151	0.00280797103293966	0.0906139841440527
Methylmalonate	Gender	Male	-0.291199996573365	0.0925626530599738	212	212	0.00190154398469897	0.0906139841440527
N.Acetylalanine	Gender	Male	0.48517089579166	0.146389672238272	212	212	0.00213000516781198	0.0906139841440527
N.Acetylneuraminate	Age	Age	-0.522148738634662	0.153303649838648	212	212	0.00161446494519143	0.0906139841440527
Oxoglutarate	IIRN_Flare	never_flared	1.25998074109481	0.391151576433547	212	212	0.002519206263853	0.0906139841440527
Quinolinate	IIRN_Flare	never_flared	0.819274977181495	0.252280826313605	212	212	0.00240101246373912	0.0906139841440527
Raffinose	IIRN_Flare	never_flared	-1.25559648111152	0.384153498729109	212	211	0.00232644928150713	0.0906139841440527
Stachyose	IIRN_Flare	never_flared	-1.973762026746	0.62313737491486	212	140	0.00279163509678589	0.0906139841440527
Thymine	Gender	Male	0.700415359606005	0.226533863504305	212	208	0.00226562015827041	0.0906139841440527
Xanthurenate	Gender	Male	-1.21208269157746	0.375696587786734	212	203	0.00257555558931526	0.0906139841440527
X3.Hydroxybenzyl.Alcohol	Gender	Male	-0.516842846224908	0.163106557071019	212	212	0.00303089140516821	0.0927919060966884
aminoadipate	Age	Age	-0.323656388972111	0.101769642915627	212	212	0.00301007081050591	0.0927919060966884
Epinephrine	Gender	Male	-0.616804772552702	0.195424545213048	212	196	0.00324657136272112	0.095918552702287
Pentanoate	IIRN_Flare	never_flared	1.13267042211709	0.363053101907828	212	212	0.00329368564555592	0.095918552702287
Adenosine.Diphosphate.Ribose	Age	Age	-0.36708883698119	0.125725449835797	212	114	0.00389471773587782	0.101628844297531
Arachidonic.acid	Age	Age	-0.467837544830394	0.151297111553623	212	189	0.00382587955507712	0.101628844297531
Kynurenate	IIRN_Flare	never_flared	1.14028563375382	0.376180297746303	212	205	0.00408558168030275	0.101628844297531
Methylguanidine	IIRN_Flare	never_flared	1.35163868339723	0.448532941747918	212	144	0.00402456628106313	0.101628844297531
N.Acetylglutamate	IIRN_Flare	never_flared	1.14611579881845	0.372382992733761	212	212	0.0038492124113952	0.101628844297531
N.Acetylglycine	Gender	Male	-0.447538426058371	0.145283686861642	212	212	0.00401665096401485	0.101628844297531
