feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Thymidine	IIRN_Flare	never_flared	2.59696532507358	0.5289754810723	216	192	1.60791110085199e-05	0.0191984585441728
Oleic.acid	IIRN_Flare	never_flared	1.25486024379322	0.310462555013002	216	216	0.000227715702924147	0.120530411666836
Succinic.Acid	IIRN_Flare	never_flared	-1.63835066603668	0.414325913471268	216	216	0.000302840230318685	0.120530411666836
Sarcosine	Gender	Male	-0.790089613380024	0.219980586730093	216	182	0.00040965594829491	0.122282300566031
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.866214053109544	0.228536964162915	216	210	0.00058471036828569	0.139628835946623
X3.Hydroxybenzyl.Alcohol	Gender	Male	-0.521595458303499	0.162163529616403	216	216	0.00265965645518181	0.155952642239464
X5.Deoxyadenosine	IIRN_Flare	never_flared	0.869324689288	0.281258356265708	216	214	0.00349075241665	0.155952642239464
Allothreonine	Gender	Male	-0.639225242699457	0.192808490392379	216	198	0.00107908426395407	0.155952642239464
aminoadipate	Age	Age	-0.314524613688847	0.10129153986992	216	216	0.00369056225142564	0.155952642239464
Benzyl.Alcohol	IIRN_Flare	never_flared	2.08597858801057	0.621729887884141	216	193	0.00170238526903873	0.155952642239464
cis.10.Nonadecenoic.acid	IIRN_Flare	never_flared	0.862710459086687	0.261950685169144	216	206	0.00116232363055731	0.155952642239464
cis.11.Eicosenoic.acid	IIRN_Flare	never_flared	0.964370935549753	0.28975075305722	216	216	0.00187750088919713	0.155952642239464
Cis.4.Hydroxy.D.Proline	Gender	Male	0.730613231318986	0.230426109659869	216	216	0.0032948048552174	0.155952642239464
D.Sedoheptulose	IIRN_Flare	never_flared	-1.08139058118231	0.354120472968429	216	177	0.00381855327671885	0.155952642239464
Dimethylarginine	Gender	Male	1.43866305888158	0.412591197531394	216	215	0.00129639670331203	0.155952642239464
Epinephrine	Gender	Male	-0.641845395159891	0.193128324405013	216	199	0.0020377886792768	0.155952642239464
