feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Thymidine	IIRN_Flare	never_flared	2.54386466675143	0.52887208261244	210	186	2.29325334361088e-05	0.0273814449227139
Oleic.acid	IIRN_Flare	never_flared	1.27732065801373	0.314717692484821	210	210	0.000220222220154068	0.101578369843988
Sarcosine	Gender	Male	-0.80546345881766	0.221007812882079	210	177	0.000340296046378519	0.101578369843988
Succinic.Acid	IIRN_Flare	never_flared	-1.64522590039069	0.419972221738837	210	210	0.00033989176668271	0.101578369843988
N.Acetylmethionine	Gender	Male	-0.845927337622214	0.219248583872431	210	209	0.000456304589056665	0.108965535866732
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.877738794568584	0.233719298886999	210	204	0.000647615680180884	0.114911585544612
Allothreonine	Gender	Male	-0.668173518665267	0.195644559284603	210	192	0.00076952775699033	0.114911585544612
Epinephrine	Gender	Male	-0.677253285063594	0.183020870357689	210	193	0.000769926871320683	0.114911585544612
Dimethylarginine	Gender	Male	1.47558520828544	0.417944284939558	210	209	0.00114507323764876	0.148567277511943
Methylguanidine	IIRN_Flare	never_flared	1.41831244936448	0.41718259179559	210	142	0.00136871026183532	0.148567277511943
Methylmalonate	Gender	Male	-0.299937307861241	0.0922906049970031	210	210	0.00135124389745659	0.148567277511943
cis.10.Nonadecenoic.acid	IIRN_Flare	never_flared	0.861836603536649	0.268115011311855	210	200	0.00152058905528939	0.151298611001294
X3.Hydroxybenzyl.Alcohol	Gender	Male	-0.526557003151789	0.164089609090865	210	210	0.00270236705586378	0.158285076035047
aminoadipate	Age	Age	-0.314378281614231	0.103465572424576	210	210	0.00441551928581132	0.158285076035047
Arachidonic.acid	Age	Age	-0.466334428747145	0.150378797781049	210	188	0.00379356088190566	0.158285076035047
Benzyl.Alcohol	IIRN_Flare	never_flared	2.09885899881383	0.633743476512486	210	187	0.00194828511780773	0.158285076035047
cis.11.Eicosenoic.acid	IIRN_Flare	never_flared	0.983519331231126	0.296805064551665	210	210	0.0019989831695386	0.158285076035047
Cis.4.Hydroxy.D.Proline	Gender	Male	0.693703745507492	0.224242371580706	210	210	0.00415097528333645	0.158285076035047
D.Sedoheptulose	IIRN_Flare	never_flared	-1.10569123658511	0.35684934524245	210	171	0.00340843641813824	0.158285076035047
Malonate	IIRN_Flare	never_flared	-0.60724424869254	0.201997442640683	210	210	0.00437634738872305	0.158285076035047
Mesaconic.acid	IIRN_Flare	never_flared	-0.595107194959495	0.186954392510076	210	210	0.00271956564810403	0.158285076035047
Methylarginine	Gender	Male	0.937757279353703	0.29126872512331	210	174	0.0029133041282622	0.158285076035047
N.Acetylalanine	Gender	Male	0.487118680203026	0.154053340615403	210	210	0.00320636952180939	0.158285076035047
N.Acetylglycine	Gender	Male	-0.44759111989369	0.147001471085095	210	210	0.004368908353646	0.158285076035047
N.Acetylneuraminate	Age	Age	-0.499370391078074	0.157050980344706	210	210	0.00301012096590076	0.158285076035047
N.Methylaspartate	Gender	Male	-0.927135283383741	0.291564925105054	210	192	0.00345131006850421	0.158285076035047
P.Octopamine	Gender	Male	-0.331704001656842	0.104958310539719	210	210	0.00333486615181017	0.158285076035047
Phosphoserine	Age	Age	-0.85966878382823	0.283280978149182	210	111	0.00462426686360891	0.158285076035047
Pyridoxal	Gender	Male	-0.62361601272085	0.204866544039723	210	210	0.0044071292399699	0.158285076035047
Taurine	IIRN_Flare	never_flared	-3.06359847756025	0.968532011190935	210	207	0.00298121731772981	0.158285076035047
Thymine	Gender	Male	0.671718305070006	0.230016407496382	210	206	0.00389220244762388	0.158285076035047
Trimethyllysine	Gender	Male	1.12148543342381	0.348921477393339	210	210	0.00273167903312762	0.158285076035047
Trimethyllysine	IIRN_Flare	never_flared	-1.3033424029523	0.417208575850773	210	210	0.00330831955830921	0.158285076035047
Xanthosine	Age	Age	0.695416199310142	0.226649890891314	210	145	0.00463984728745951	0.158285076035047
Xanthurenate	Gender	Male	-1.19758131087954	0.387001883701559	210	201	0.00365121420267661	0.158285076035047
X5.Deoxyadenosine	IIRN_Flare	never_flared	0.846338130406697	0.288532823341627	210	208	0.00544066898223031	0.166568173455974
Adenosine.Diphosphate.Ribose	Age	Age	-0.355255070290794	0.126280765363351	210	113	0.00538683091737696	0.166568173455974
Pyridoxine	Gender	Male	-0.594535926534768	0.198708331845484	210	210	0.00512379945806285	0.166568173455974
trans.trans.Muconic.acid	Gender	Male	-0.307733082649634	0.103267818292935	210	210	0.0052359111150996	0.166568173455974
X4.Hydroxybenzaldehyde	Gender	Male	-0.330473799235845	0.112669474665491	210	210	0.00590946156020855	0.172095051289976
Pentadecanoic.acid	IIRN_Flare	never_flared	0.977057147381436	0.334151257036438	210	210	0.0058092426807231	0.172095051289976
D.Pinitol	IIRN_Flare	never_flared	-0.949162815861903	0.33018155990645	210	199	0.00610509579072035	0.173559151764764
cis.10.Nonadecenoic.acid	Gender	Male	-0.571839240889913	0.207184984088647	210	200	0.00630837868060159	0.175167538247402
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Gender	Male	1.51015611474994	0.528349818531505	210	111	0.00683800102807274	0.18143496061153
Salicylate	Gender	Male	-0.559571533454185	0.195119273292738	210	210	0.00672628670180504	0.18143496061153
Kynurenate	IIRN_Flare	never_flared	0.999662934452446	0.354625774384987	210	203	0.00729973760994268	0.189475797962425
X3.Amino.5.Hydroxybenzoate	Gender	Male	-0.646603331350007	0.228090010043863	210	210	0.00765121923492303	0.19032407846871
X3.Methyl.L.Histidine	Gender	Male	1.41402195593727	0.499457193802245	210	206	0.00755700115601982	0.19032407846871
X3.Methoxytyrosine	Gender	Male	-0.500865379439861	0.179233313764602	210	210	0.00820722403349815	0.191401128169637
Cystine	Gender	Male	1.54333145812616	0.55255079904413	210	144	0.00833572752497579	0.191401128169637
Diethanolamine	Gender	Male	-0.511405506795841	0.181876293690266	210	210	0.00803180778989985	0.191401128169637
Stachyose	IIRN_Flare	never_flared	-1.68531012066649	0.607674809752501	210	135	0.00827739548873213	0.191401128169637
X14.Methylhexadecanoic.acid	IIRN_Flare	never_flared	0.646506786026071	0.235535460701055	210	210	0.00910118386659988	0.192676897163587
X2.hydroxyglutarate	IIRN_Flare	never_flared	-0.596864994657041	0.223762817874386	210	210	0.010811852688409	0.192676897163587
Biotin	IIRN_Flare	never_flared	0.677636777028206	0.251721450759652	210	210	0.0101021359868231	0.192676897163587
Creatine	IIRN_Flare	never_flared	-1.77511677281271	0.647409295301388	210	210	0.00914536951099218	0.192676897163587
Dehydroascorbate	Gender	Male	-0.544338134364426	0.201777924612557	210	195	0.0107534683636543	0.192676897163587
Dodecanoic.acid	Gender	Male	-0.565410995915924	0.207301085547112	210	210	0.00983770009560741	0.192676897163587
Glycolate	Gender	Male	-0.403495751179144	0.149799660686204	210	210	0.0107704246452871	0.192676897163587
Guanosine	Age	Age	0.314007558478513	0.115044909067549	210	210	0.0104269299775536	0.192676897163587
Kynurenate	Gender	Male	-0.809328914481566	0.295249372972331	210	203	0.00931544218897597	0.192676897163587
Methyl.4.Aminobutyrate	Gender	Male	-0.396386928740566	0.1429452803682	210	210	0.00879920597960094	0.192676897163587
methyl.lysine	Gender	Male	1.04977970074174	0.385183661332505	210	204	0.0100539416315806	0.192676897163587
Myo.Inositol	IIRN_Flare	never_flared	-0.881762516458924	0.330161779596587	210	210	0.0108116631068458	0.192676897163587
Palmitoleic.acid	IIRN_Flare	never_flared	0.677186017634259	0.246201232789311	210	210	0.00882713432415447	0.192676897163587
Paraxanthine	Age	Age	0.550157685439775	0.201732038680849	210	119	0.0106383258240008	0.192676897163587
Raffinose	IIRN_Flare	never_flared	-1.04933217304147	0.387129583569731	210	209	0.0101704045848656	0.192676897163587
X4.Acetamidobutanoate	Age	Age	-0.242764367774564	0.0924581025545136	210	210	0.0126796240512497	0.195186625028099
X4.Acetamidobutanoate	IIRN_Flare	never_flared	0.562435983714003	0.217055544785793	210	210	0.0130778308226532	0.195186625028099
X6.Carboxyhexanoate	Gender	Male	-0.583482767751352	0.222966196519117	210	210	0.0126618606902074	0.195186625028099
Cholate	Gender	Male	1.63035754676692	0.614312506285978	210	205	0.0118340509653622	0.195186625028099
Glycine	IIRN_Flare	never_flared	-0.792092003062167	0.304383927821128	210	210	0.0128881251473971	0.195186625028099
Guaiacol	Gender	Male	-0.31193976878115	0.114179026728763	210	210	0.0113109898435961	0.195186625028099
Mesaconic.acid	Age	Age	0.206826345790301	0.0770971172950585	210	210	0.0116647118101652	0.195186625028099
Mesoxalate	Gender	Male	-0.700492487998208	0.260835547630968	210	143	0.0112870054503853	0.195186625028099
Orotate	Gender	Male	0.817702236910879	0.312105601623751	210	207	0.01307363293839	0.195186625028099
Pentanoate	IIRN_Flare	never_flared	0.931466345360238	0.356819332596253	210	210	0.0126473033982298	0.195186625028099
Pipecolate	IIRN_Flare	never_flared	1.3098383304577	0.500339592449588	210	210	0.0127336549037938	0.195186625028099
Thymine	Age	Age	0.282819216236027	0.112859043491702	210	206	0.012997577946052	0.195186625028099
Tryptophan	Gender	Male	0.713403924990131	0.27384118091634	210	210	0.0129737291110897	0.195186625028099
Cis.4.Hydroxy.D.Proline	Age	Age	0.297518063457657	0.113029230079231	210	210	0.0137073217556339	0.197674499384371
Fructose	IIRN_Flare	never_flared	-0.877445576246599	0.337612091613314	210	210	0.0135693933080719	0.197674499384371
N.Acetylneuraminate	Gender	Male	0.797358418165188	0.309290973499052	210	210	0.0137411921682603	0.197674499384371
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Gender	Male	1.1623578967751	0.46117450886441	210	204	0.0160885263992952	0.20934657348167
X2.Hydroxypyridine	Gender	Male	-0.472619512859335	0.185969015968559	210	210	0.0160084813058628	0.20934657348167
X3.hydroxybutyric.acid	Gender	Male	-0.538529008655082	0.21134170098633	210	210	0.0160952755652405	0.20934657348167
Benzyl.Alcohol	Gender	Male	-1.34895794547831	0.533215805023674	210	187	0.0156090689293712	0.20934657348167
cis.7.10.13.16.Docosatetraenoic.acid	Age	Age	-0.809625635972994	0.3183366937334	210	107	0.0157593122003372	0.20934657348167
Hypotaurine	IIRN_Flare	never_flared	-0.619006083140776	0.244329336117296	210	210	0.015288398177603	0.20934657348167
Lithocholyltaurine	Age	Age	-0.385395174567389	0.149614205963498	210	58	0.0155334566714068	0.20934657348167
Quinolinate	IIRN_Flare	never_flared	0.644517527028913	0.256072147077861	210	210	0.0161305567506815	0.20934657348167
Thymine	IIRN_Flare	never_flared	0.728784340446428	0.297660817308159	210	206	0.0151992576379733	0.20934657348167
X2.hydroxyglutarate	Age	Age	0.234638448623144	0.093333356129172	210	210	0.0172027087407645	0.216210886699714
X3..4.Hydroxyphenyl.Pyruvate	Gender	Male	-0.457299720410292	0.182933964534259	210	210	0.0171584045498805	0.216210886699714
Citrulline	Gender	Male	0.69451037270344	0.276302367622847	210	210	0.0168558486459785	0.216210886699714
X3.Amino.4.Hydroxybenzoate	Gender	Male	-0.532783722082493	0.214055025533138	210	210	0.0175655278889514	0.216610769907272
X4.Hydroxybenzoate	IIRN_Flare	never_flared	-0.714394854215102	0.289952315752242	210	210	0.018141605519872	0.216610769907272
Biotin	Gender	Male	-0.516222984635543	0.208185481888369	210	210	0.0178970134964527	0.216610769907272
N.Acetylmethionine	IIRN_Flare	never_flared	0.648328546232117	0.263183309974731	210	209	0.0181271616357263	0.216610769907272
N.Acetylputrescine	Gender	Male	1.60958439622246	0.646712753533126	210	210	0.0177012475406647	0.216610769907272
Methylguanidine	Gender	Male	0.827806946335887	0.335477122654073	210	142	0.0186470046002571	0.220440826660465
X3.Sulfinoalanine	Gender	Male	-0.368842791379084	0.151318536197823	210	199	0.0210151109103199	0.221496488980208
X4.Pyridoxate	IIRN_Flare	never_flared	0.742404147750938	0.30878112561564	210	210	0.0211479059830349	0.221496488980208
Bis.2.Ethylhexyl.Phthalate	Gender	Male	1.11942511851887	0.45822652686191	210	210	0.0195435948594484	0.221496488980208
Decanoic.acid	Gender	Male	-0.447434045238357	0.183391742082475	210	210	0.0196913273619159	0.221496488980208
Deoxycholate	Gender	Male	1.09861517550379	0.45066448471317	210	210	0.0197780551334687	0.221496488980208
Erucic.acid	IIRN_Flare	never_flared	1.61300043713497	0.664138591270489	210	161	0.0192962217082729	0.221496488980208
Histidine	IIRN_Flare	never_flared	-1.05614094833885	0.43842942488786	210	210	0.020678606666013	0.221496488980208
Mesoxalate	Age	Age	-0.319924294629678	0.130300733514709	210	143	0.0204174196767076	0.221496488980208
N.Acetylglucosamine	Age	Age	-0.371675884754916	0.154006306001444	210	210	0.0210126522228681	0.221496488980208
Oleic.acid	Gender	Male	-0.633655391302946	0.262691052851867	210	210	0.0210198475014057	0.221496488980208
Oxoglutarate	IIRN_Flare	never_flared	0.976309942684944	0.403144760022961	210	210	0.0202195743193747	0.221496488980208
Stachydrine	IIRN_Flare	never_flared	0.835039240461953	0.343509951404536	210	210	0.0198083464566408	0.221496488980208
Stearic.acid	Gender	Male	-0.611647793246973	0.251262935405099	210	210	0.0201129638664419	0.221496488980208
X3.Hydroxybenzaldehyde	Gender	Male	-0.497840962454625	0.209590787255828	210	210	0.0227392453278925	0.232056913859006
Ascorbic.acid	IIRN_Flare	never_flared	0.995507393544752	0.419400383656483	210	210	0.022715027482215	0.232056913859006
Melatonin	IIRN_Flare	never_flared	1.82818322585908	0.770199550867187	210	149	0.0224718551763996	0.232056913859006
PEP	Gender	Male	-0.593965430769519	0.249650651679373	210	62	0.0229993251744595	0.23272198523987
Dihydrouracil	IIRN_Flare	never_flared	1.07052312388565	0.457067006829929	210	82	0.0241973385449574	0.234891237582758
Dimethylglycine	Gender	Male	-0.257403922194582	0.109059675242771	210	210	0.0240737222334983	0.234891237582758
trans.3.Hexenoic.acid	Gender	Male	-0.494427841649543	0.208961175777013	210	210	0.0239628534623871	0.234891237582758
Trehalose	IIRN_Flare	never_flared	-0.874215373537519	0.370012077089565	210	210	0.0237811180239611	0.234891237582758
Trigonelline	Gender	Male	1.05986773861675	0.450671931589446	210	210	0.0240779050800145	0.234891237582758
Citrate	Age	Age	0.324149157393146	0.136664949566997	210	210	0.025024787888246	0.235272415264297
Deoxycarnitine	Age	Age	-0.463636532790126	0.198079885949438	210	210	0.0248665986794152	0.235272415264297
N.Acetylphenylalanine	Age	Age	0.496685285899119	0.210397756516011	210	164	0.0247354674158392	0.235272415264297
Tartrate	Gender	Male	-0.460168724202233	0.196711016866691	210	210	0.0249716567351819	0.235272415264297
Acetoacetate	Gender	Male	-0.366711358633189	0.157760973572606	210	210	0.0257582774875007	0.236579871692891
Fructose	Gender	Male	0.665708326002507	0.284639379171469	210	210	0.0254196656406899	0.236579871692891
N.Formyl.L.Methionine	IIRN_Flare	never_flared	1.12527632888314	0.48310415776616	210	192	0.0255869817546644	0.236579871692891
X1.Methyladenosine	IIRN_Flare	never_flared	-0.630140767524034	0.276925499635336	210	177	0.0278468758414974	0.237960873681571
X3..2.Hydroxyphenyl.Propanoate	IIRN_Flare	never_flared	-0.425492322901201	0.185435077787507	210	210	0.0265591910472849	0.237960873681571
X3.Methoxytyramine	IIRN_Flare	never_flared	0.819692984993376	0.357865715287362	210	66	0.0263776575870998	0.237960873681571
X4.Aminobenzoate	Gender	Male	-0.491395691826372	0.216202153090602	210	210	0.0288908603732012	0.237960873681571
X5.Methylcytosine	IIRN_Flare	never_flared	-1.35718444508998	0.596899660930052	210	120	0.0285390765879882	0.237960873681571
X6.Hydroxynicotinate	Gender	Male	-0.266211049176624	0.115465625867634	210	210	0.027576633846112	0.237960873681571
Argininosuccinate	IIRN_Flare	never_flared	-0.822741310401983	0.364131073191641	210	113	0.0287603871210948	0.237960873681571
Eicosapentaenoic.acid	Gender	Male	-0.550135902204842	0.23895804047824	210	201	0.0274614208653945	0.237960873681571
Glutarate	Gender	Male	-0.781974447469631	0.344288506353586	210	210	0.0294326078570914	0.237960873681571
Guanidinoacetate	IIRN_Flare	never_flared	-1.48967182580156	0.659205434046798	210	210	0.0294247109521753	0.237960873681571
N.Acetylasparagine	IIRN_Flare	never_flared	-0.542411107926497	0.237961436036708	210	210	0.0281460230975854	0.237960873681571
N.Acetylleucine	Gender	Male	0.551532502404775	0.240833462589626	210	207	0.0284655438796622	0.237960873681571
N.Acetylserine	Age	Age	0.302386113311001	0.130651994012422	210	210	0.0269920586653254	0.237960873681571
N.Formylglycine	Gender	Male	-0.525933675052634	0.226539998020606	210	210	0.0264572620003947	0.237960873681571
Octanoic.acid	Gender	Male	-0.484494294751625	0.213761883160747	210	210	0.0295883000880413	0.237960873681571
Pentanoate	Age	Age	-0.350015149576332	0.153256304754035	210	210	0.0284922255944762	0.237960873681571
Phenylethanolamine	Gender	Male	-0.364013407885209	0.158220646774961	210	209	0.0282438462605951	0.237960873681571
Sphinganine	IIRN_Flare	never_flared	0.956017511513814	0.424063038420551	210	209	0.0292368392744596	0.237960873681571
Urocanate	IIRN_Flare	never_flared	0.873095394253658	0.389410076582731	210	210	0.0296952849066617	0.237960873681571
PEP	Age	Age	-0.279833196542937	0.123239153620944	210	62	0.0305141192701222	0.240948072010861
Quinolinate	Gender	Male	-0.484888798407738	0.215655408597193	210	210	0.0306734564033927	0.240948072010861
Valine	Gender	Male	0.612240350890435	0.271097550165023	210	210	0.0303869069213767	0.240948072010861
Phenylpyruvate	Gender	Male	-0.42502683150556	0.189102051232201	210	210	0.030883595504289	0.241013157072687
Glucuronolactone	Gender	Male	-0.680937453412267	0.304341768159541	210	210	0.0314495962941522	0.243836480358557
X3.Methylglutaconate	Gender	Male	-0.415561014232595	0.188629986382194	210	210	0.0339783910958493	0.244899397175051
X5.Hydroxymethyluracil	Gender	Male	-0.565977423404208	0.254376246917787	210	172	0.0321992513388362	0.244899397175051
X5.Valerolactone	IIRN_Flare	never_flared	0.562054227610502	0.257072310595188	210	210	0.0346633150105391	0.244899397175051
