feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Thymidine	IIRN_Flare	never_flared	2.59951355083299	0.531994638045265	214	190	1.76746675996066e-05	0.0211035531139302
Oleic.acid	IIRN_Flare	never_flared	1.24986773187972	0.311870335892771	214	214	0.000255931620103017	0.115892220049192
Succinic.Acid	IIRN_Flare	never_flared	-1.65162508198315	0.416095174616268	214	214	0.000291186482535658	0.115892220049192
Sarcosine	Gender	Male	-0.776572642557293	0.218147114260752	214	181	0.000459768674734644	0.137240949408291
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.854075928550724	0.228067541092001	214	208	0.000659082950436	0.141269339144136
N.Acetylmethionine	Gender	Male	-0.817562487412058	0.220588261440217	214	213	0.000709896176603696	0.141269339144136
X3.Hydroxybenzyl.Alcohol	Gender	Male	-0.518015712810032	0.163143429701606	214	214	0.00298564847262315	0.154923737824932
Allothreonine	Gender	Male	-0.648268132922263	0.193414737987505	214	196	0.00227742375400124	0.154923737824932
Benzyl.Alcohol	IIRN_Flare	never_flared	2.08232714542298	0.627346871255276	214	191	0.00190313595786329	0.154923737824932
cis.10.Nonadecenoic.acid	IIRN_Flare	never_flared	0.866475569018159	0.263904947706448	214	204	0.00120361354577068	0.154923737824932
cis.11.Eicosenoic.acid	IIRN_Flare	never_flared	0.961281777865375	0.292384372433415	214	214	0.00213912352435972	0.154923737824932
Dimethylarginine	Gender	Male	1.48722656267166	0.416388421044412	214	213	0.00102856705949696	0.154923737824932
Epinephrine	Gender	Male	-0.639943136905517	0.194555143499007	214	197	0.00226224556719414	0.154923737824932
Methylarginine	Gender	Male	0.970072317192354	0.289021489264452	214	178	0.0020336050212219	0.154923737824932
Methylguanidine	IIRN_Flare	never_flared	1.30579466501694	0.412673234914884	214	143	0.00256857515478913	0.154923737824932
Methylmalonate	Gender	Male	-0.296240272433012	0.0920001328686462	214	214	0.00148748699166458	0.154923737824932
N.Acetylalanine	Gender	Male	0.49097836454027	0.153339141626565	214	214	0.00282917309632879	0.154923737824932
N.Acetylneuraminate	Age	Age	-0.507541426723459	0.155258772592679	214	214	0.00235529964137457	0.154923737824932
Phosphoserine	Age	Age	-0.880163197675514	0.275946224694933	214	112	0.00301701930884899	0.154923737824932
Pyridoxine	Gender	Male	-0.638045763200742	0.189586093476445	214	214	0.00180993216690353	0.154923737824932
Thymine	Gender	Male	0.705628376100821	0.227571697161319	214	210	0.00219821445707717	0.154923737824932
Trimethyllysine	Gender	Male	1.12319393230407	0.34723386101988	214	214	0.00260166317087301	0.154923737824932
Trimethyllysine	IIRN_Flare	never_flared	-1.30180746540359	0.413743624701144	214	214	0.00311404498140567	0.154923737824932
Xanthurenate	Gender	Male	-1.21659449939513	0.383200284937549	214	205	0.00293590781048289	0.154923737824932
Cis.4.Hydroxy.D.Proline	Gender	Male	0.725570176028495	0.231286826877297	214	214	0.00361333609466071	0.155883128540162
N.Acetylglycine	Gender	Male	-0.455474277781928	0.145264229831831	214	214	0.00345484126078306	0.155883128540162
P.Octopamine	Gender	Male	-0.32554326935224	0.104233124620681	214	214	0.00370053316593093	0.155883128540162
Pyridoxal	Gender	Male	-0.636017369628302	0.202118913170999	214	214	0.00334145516023404	0.155883128540162
Taurine	IIRN_Flare	never_flared	-2.95953457693118	0.962527837948563	214	211	0.00378610613707262	0.155883128540162
Malonate	IIRN_Flare	never_flared	-0.607156668050745	0.199691682238943	214	214	0.00397654388530956	0.15826644663532
aminoadipate	Age	Age	-0.311047725100584	0.102021997004655	214	214	0.00429267063587668	0.165337056104411
X3.Amino.5.Hydroxybenzoate	Gender	Male	-0.677765119205005	0.224061302595877	214	214	0.00469195482914488	0.170762642528187
D.Sedoheptulose	IIRN_Flare	never_flared	-1.05118788210078	0.353295544536511	214	176	0.00471957052213583	0.170762642528187
