Feature,SampleID_1,SampleID_10,SampleID_100,SampleID_101,SampleID_102,SampleID_103,SampleID_104,SampleID_105,SampleID_11,SampleID_110,SampleID_112,SampleID_113,SampleID_142,SampleID_144,SampleID_148,SampleID_154,SampleID_17,SampleID_18,SampleID_2,SampleID_20,SampleID_207,SampleID_210,SampleID_211,SampleID_213,SampleID_217,SampleID_219,SampleID_220,SampleID_225,SampleID_227,SampleID_228,SampleID_231,SampleID_232,SampleID_233,SampleID_235,SampleID_236,SampleID_24,SampleID_240,SampleID_241,SampleID_243,SampleID_248,SampleID_249,SampleID_25,SampleID_250,SampleID_256,SampleID_258,SampleID_262,SampleID_264,SampleID_265,SampleID_272,SampleID_274,SampleID_28,SampleID_286,SampleID_29,SampleID_293,SampleID_294,SampleID_297,SampleID_298,SampleID_3,SampleID_301,SampleID_304,SampleID_305,SampleID_308,SampleID_311,SampleID_312,SampleID_315,SampleID_317,SampleID_319,SampleID_323,SampleID_326,SampleID_33,SampleID_333,SampleID_334,SampleID_335,SampleID_337,SampleID_338,SampleID_339,SampleID_340,SampleID_343,SampleID_344,SampleID_354,SampleID_358,SampleID_363,SampleID_364,SampleID_365,SampleID_367,SampleID_368,SampleID_371,SampleID_373,SampleID_378,SampleID_379,SampleID_380,SampleID_383,SampleID_384,SampleID_386,SampleID_387,SampleID_39,SampleID_4,SampleID_40,SampleID_41,SampleID_44,SampleID_45,SampleID_46,SampleID_47,SampleID_49,SampleID_5,SampleID_50,SampleID_52,SampleID_55,SampleID_56,SampleID_59,SampleID_6,SampleID_62,SampleID_63,SampleID_64,SampleID_68,SampleID_69,SampleID_70,SampleID_72,SampleID_77,SampleID_78,SampleID_8,SampleID_82,SampleID_85,SampleID_88,SampleID_90,SampleID_91,SampleID_93,SampleID_94,SampleID_97,SampleID_98,SampleID_116,SampleID_136,SampleID_137,SampleID_140,SampleID_141,SampleID_143,SampleID_242,SampleID_328
transferase,0.1201,0.9321,0.0122,0,0.0371,0.0118,0,0.5982,0.2579,0.1255,1.0001,0.2625,0.3242,0,0,0,0.1424,0.0989,0.1065,0,0,0,0,0.3078,0.0274,0.1652,0.2539,0.2864,0,2.6887,0.1541,0,0,0.0369,1.085,0,0.3141,0.0681,0.0476,0.6591,1.1833,0.1905,1.6661,0.1355,0.1879,0,0.1984,0.0732,0.1327,0.119,0.3566,0,0.4597,0.0556,0,0.1058,0,0.4259,0.2904,0,0.1306,0,0.4424,0,0,0.3501,0.0728,0.0163,0.395,0.439,0,0.5424,0.73740000000000006,0,0,0.0041,0,0.035,0.257,0,0.1334,0.4162,1.5703,0.2063,0,0.2591,0,0,0.0959,0,0.0156,0,0,0.0288,0,0,0.3886,0,0.1499,0.0125,0,0,0.1702,0.0838,0.114,0.034,0.012,0,0.1817,0.2666,0.2399,0,0,0,0.4671,1.6872,0.8849,0,0.6569,0.6612,0.7806,0.4173,0.2587,1.7951,0.0182,0,0.1947,0,0,0,0,0,0.0338,0,0.205,2.6633,0.3466,0
Kanamycin kinase,0.5949,0.1672,0.0643,0.1663,0.0113,0.0444,0.0511,0.1954,0.2177,0.3518,0.3879,0.4756,0.095,0.6282,0.0117,0,0.3127,0.0922,0.39,0.5521,0.1305,0,0.2964,0.0675,0.1032,0,0.4808,0,0.0266,0.0695,0.0442,0.0025,0.0867,0.0347,0,0.7287,0,0.0687,0.1305,0.0271,0.031,0.1221,0.0373,0.0577,0.0653,0.1059,0.3126,0,0.0538,0,0,0.0279,0.0382,0,0.0786,0.1595,0,0.48,0.0031,0.094,0,0.0497,0.0643,0.0867,0.0672,0.1923,0.3394,0.1012,0,0.2144,0.0164,1.0531,0.1504,0.1161,0.2882,0.0386,0.117,0.192,0,0.0549,0.058,0.0456,0.0337,0.6573,0,0.6566,0,0.2243,0.5081,0.0455,0,0.0273,0.1814,1.1005,0.0833,0,0.071,0.0535,0.0096,0.001,0.2252,0.4015,0.1268,0.0608,0,0.0502,0.0836,0.1694,0,0.0277,0.078,0.0604,0.5019,0.3669,0.1812,0.0703,0.0197,0.0638,0,0,0.4117,0.0893,0.0323,0.0297,0.0374,0.1377,0.0394,0.0178,0,0.6176,0.0993,0,0.4157,0.5676,0.1817,0.0682,0.2148,0.3199
23S rRNA (adenine(2085)-N(6))-dimethyltransferase,0.6747,0.0923,0.2517,1.787,0.43,1.2706,0.4086,1.0454,0.3618,0.1208,0.1117,2.3775,0.173,0.3136,0,0.6087,2.5511,1.2701,1.5682,5.3686,0.922,1.0503,0.401,2.9225,1.8009,0.0305,2.0425,0.1688,1.379,0.0899,0.3543,1.5942,0.2637,1.819,3.6308,0.8775,0.0625,0.9944,0.9394,0.1743,0.8475,0.0585,3.0642,0.149,2.2397,2.0707,0,0.152,0.3787,2.3112,0.0927,0.8826,0.3956,0.9182,0.2689,0.1815,0.0664,1.8971,1.5931,0.1885,0.8661,3.5255,0.268,0.6574,0.3413,1.9168,0.5,0.2053,1.7852,0.2739,0.4072,0.2959,0.1504,0.9475,1.5484,0.0297,0.8185,1.3015,0.285,0.9927,1.303,2.8951,1.3254,1.6157,0.5424,1.4982,1.101,0.1849,1.4538,0,0.2009,2.4261,0.3512,0.2714,0.1676,2.4271,1.5923,0.3171,0.9473,0.8308,1.2669,1.3589,1.3635,1.1752,0.1018,0.7318,1.065,1.3562,0.3828,0.9779,0.1904,0.0393,0.2965,0.0258,0.7299,0.062,1.6175,0.9348,2.3921,0.3497,0.7466,0.294,0.9846,0.028,3.6312,1.1328,0.1136,0.1483,1.2045,0.5571,0.112,0,0.2574,0.0762,0.181,0.1604,1.0517,1.5803
H(+)-exporting diphosphatase,0.0954,0.1362,2.313,0.0414,0.0347,0.1477,0,0.0311,2.1384,0.8066,0,1.1143,0,0.0122,0,0,0.1799,0.1437,0.2758,0.0185,0.0643,0.1304,0,0,1.0586,0,1.0614,0.0282,0.2059,0.168,0.1826,0.1917,0.1155,0.0734,0,0.0953,0.583,0.0262,0.608,0.3555,0.1214,0.4529,0,0.1685,0.0791,0.0284,0.537,0.0885,0.3121,0.0634,0.023,0.2223,0.1325,0.1288,2.3004,0.1403,0,0.0686,0.0634,0.0975,0.0504,0.7889,0.4077,0.0407,0.6318,1.0753,0.5196,0,0,0.1915,0.057,0.585,0.0677,0.0236,0.2489,0.1524,0.304,0.2842,0,0.9175,0.0736,0.4714,0,0.1566,0.3689,0.2151,0.8789,0.1091,0.4298,0.0428,0.0387,0.0969,0.959,0.2096,0,0.3635,0.1067,0,0,0.0936,0.1985,1.6238,0.2578,0,0.0757,0.1234,0.254,0.1133,0,0.1762,0.3173,0,0.0636,0,0.3874,0.1513,0.1203,0.436,0,0.09,0,0.18,0.0471,0,0.2565,0.7198,0.0658,0.8,0.1944,0.0341,0.0956,0.0311,0.2327,0,0,0.0462,0.3603,0.7615
Tropinesterase,2.6334,0.4122,0.3411,0.1976,0.0371,0.0644,0.0395,0.1345,0.1162,0,0.0808,0.0282,0.0725,0.1319,0.0107,0.5802,0.2068,0.5765,0.9016,0.5559,0.2678,0.3811,0.1607,0.2949,0.2593,0.9577,0.469,1.2671,0.1876,0.4681,0.6325,0.3531,0.616,0.2661,0,0.0096,0.478,0.6995,0.9157,0.2703,0.085,0.3673,0.0737,0.3576,0.8629,0.8595,0.0868,1.0325,0.256,0.0822,0.9247,0.2368,0.1816,0.0725,0.5999,1.5522,0.1506,1.2343,0.2048,0.099,0.5227,0.2715,0.0524,0.8645,0.5545,0.7907,0.518,0.6737,0.3636,0.343,0.238,0,0.0471,0.1046,1.3996,0,0.2988,0.4735,0.0877,0.1029,1.4159,0.0946,1.6724,1.29,0,0.2783,0.3652,0.0736,0.3,0.4658,0.2032,0.3009,0.4726,0.2031,0.3912,0.3045,0.9867,0.2841,0.8535,0.0519,0.7592,0.3844,0.059,1.3494,0.5894,0.4076,0.3074,0.3725,0.2,0.7314,0.1615,0.0169,0.1846,0,0.333,0.734,0.7841,0.99,0.323,0.6785,0.4369,0.8481,0.208,0.1013,0.2726,0.2186,0.5212,0.3452,0.1525,0.5477,0.3832,0.1382,0.3927,0,0.177,0.3307,0.6489,0.4542
Phosphonopyruvate hydrolase,0.0617,0,0.0344,0,0,0.0403,0,0,1.587,0,0.0756,0,0.122,0,0,0,0,0.0216,0.1296,0,0,0,0,0,0,0,0,0,0,0.0297,0.1216,0.247,0.0235,0,0,0.2326,0,0.0266,0,0.0561,0,0,0,0.0363,0.0092,0.1813,0,0.0394,0.1436,0,0.283,0,0.9489,0,0,0,0,0.319,0,0,0,0,0,0,0.5553,0,0,0.5207,0,0.422,0.2786,0,0,0.0525,0.2125,0,0,0.1725,0,0,0,0,0,0.0244,0,0,0,0,0,0,0.3794,0,0.0104,0,0,0,0.1771,0,0,0,0,0,0,0,0,0.1033,0,0,0,0,0,0,0,0,0.1051,0.0657,0.0886,0.0463,0,0.5492,0,0.251,0.0373,0,0,0,0,0.0214,0.4392,0,0,0,0,0,0.0814,0,0,0
Tetrahydromethanopterin S-methyltransferase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1935,0,0,0,0,0.1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2227,0.0163,0.2523,0,1.9079
Glutamine--scyllo-inositol transaminase,0.0336,0.0304,0.2236,0.0468,0.2489,0,0,0,0,0.0804,0,0.063,0,0,0,0,0,0.0441,0.0186,0,0.0576,0.1111,0,2.133,0.07,0,0.0122,0,0,0,0.101,0,0.0318,0,0,0.0803,0.0232,0.3803,0,0.0526,0.0226,0,0,0.0412,0,0.0167,0,0,0.0724,0,0.0116,0,0,0.0412,0,0,0,0.0698,0,0,0,0,0.0448,0,0,0,0.0477,0,0,0.0555,0.0934,0,0.1634,0,0,0.0103,0,0.024,0,0,0.0292,0.0109,0,0,0,0,0.0668,0,0,0,0,0,0.0084,0.0476,0,0,0,0,0,0,0,0,0,0.0232,0,0,0.0247,0.046,0,0.0588,0.2784,0,0.0286,0,0.0469,0,0,0,0,0.0454,0,0,0.012,0,0,0.0503,0.0331,0.0744,0.0461,0,0,0,0,0,0,0.0395,0.1603,0.0441
2-(R)-hydroxypropyl-CoM dehydrogenase,0.3852,0.1937,0.281,0.0138,0.015,0.0268,0,0,0.4291,0,0.4904,0,0,0.0924,0,0.1149,0.1573,0.1909,0.2696,0.0369,0.2696,0.0247,0,0.2203,0,0,0,0.0163,0.13,0.1334,0.2197,0.0121,0.5071,0.1007,0,0,1.0205,0.7156,0.374,0.6127,0.1902,0,0.104,0.0352,0.0989,0.0466,0.1498,0.2137,0.078,0.3463,0.042,0.0306,0,0,0.317,0.0935,0.047,0.2903,0.0784,0.0081,0,0,0.4923,0.2677,0.3504,0.1039,1.3273,0,0.2102,0.097,0.2239,0,0.0761,0.0279,0.0566,1.1541,0,0.054,0,0.0459,0,0.4712,0.0613,0,0,0.0505,0,0,0.5099,0,0.0195,0,0.5584,0,0.3864,0,0.32,0.0421,0.176,0.0476,0.047,0.0592,0.708,0,0,0.0133,0.2021,0.0414,0.3182,0.1778,0.1195,0.1867,0.0694,0,0.192,0.0986,0.2032,0.1535,0,0.1975,0.1088,0.2433,0.1544,0.0488,0.1497,0.0852,0,0,0,0.026,0.0322,0,0,0,0.194,0.34,0.2077,0.0564
Ceramidase,0,0,0,0,0.0181,0,0,0,0,0,0.0263,0,0,0,0,0,0,0,0,0,0.0481,0,0,0.16,0.3796,0,0,0.1955,1.6006,0,0,0,0.0659,0,0,0,0,0.4518,0.8266,0,0,0,0,0.9099,0,0,0,0,0,0,0.2828,0,0,0,0,0,0,0.0088,0,0,0,0.1224,0,0,0.128,0,0,0.0378,0,0,0,0,0,0,1.0271,0,0,0,0,0,0.4982,0,0,0,0.1505,0,0,0,0,0,4.1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,0.0044,0,0.1792
IgA-specific serine endopeptidase,0,0,0.1723,0,0,0,0.0545,0,0,0,0,0,0,0.3813,0.0369,0.4666,0,0,0.024,0,0,0,0,0,2.0806,0,0,0,0,0.001,0.0437,0,0,0,0,0,0,0,0,0,0,0,0,0.0259,0.0018,0,0,0,0,0,0,0.0807,0,0.0125,0,0,0,0,0,0,0,0.0408,0,0,0,0,0.0553,0.0097,0,0,0,0,0,0,0,0,0,0,0,0.3733,0,0.0097,0,0,0,0,0,0,0.0775,0,0,0,0,0.1949,0,0,0,0.0126,0,0.6164,0.4881,0.0722,1.6537,0,0,0,0,0,0,0,0.3451,0,0,0.7557,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0.1843,0,0,0,0,0.0092,0,0
ADP-ribosyl-[dinitrogen reductase] hydrolase,0,0.3902,0.0934,0.303,0.2182,0.0943,0.0573,0.3088,0,0,1.0134,0,0.2585,0,0,1.0485,0.0465,0.1586,0,0.3336,0.1148,0.0144,0,0.1312,0.387,0,0.1356,1.946,0.0568,0.0995,5.3778,0.0518,0.2329,0.0628,0,0,0.0975,0.0549,0.6164,0.0329,0.2455,0.0357,0.7831,0.3311,0.1148,0.107,0,0.7324,4.1979,0.156,2.1047,0.225,0.056,0.2035,0,0,0.2757,0.0116,0.4973,1.0184,0.1192,0.1424,0.1265,0.6564,0.1916,0.2414,0.0473,0.4066,0.219,0.154,0.5474,0,0.1161,7.2031,0.2261,0.0501,0.6017,0.1132,0,0.1384,1.0131,0.0464,0.158,0.2666,0.0299,0.047,0,0.3682,0.0172,0,0.1364,0.7461,0.041,0.0398,0.207,0,0,0.7889,0.6885,0.0139,0.1175,0.1549,0.0333,0.0771,0.0903,0.0149,0.1131,0.2643,0.2876,1.0578,0.3006,0.0928,0.0591,0,0.1698,0.7589,1.5352,1.446,0.0929,0.139,0.5405,0.4152,0.2242,0.33,0.0626,0.0184,0.1629,0,0.019,0,0.0961,0,0.3366,0.2629,0.3908,0.1917,0.9707,3.6174
Nitric-oxide synthase (NADPH),0.299,0,0,0.0325,0,0,0,0,0,0,0,2.9258,0,0,0,0,0,0,0.2161,0,0,0,0.1598,0.3047,0.0453,0.0931,0,0.0472,0.0396,0.0098,0.0754,0,0.0065,0.6511,0,0.0659,0,0.98,0,0,0.4742,0,0.1623,1.1931,0,0,0.0839,0,0,0.1933,0.1939,0.7113,0,0,0.0326,0.2432,0,0.0755,0.3136,0.0137,0,0.6977,0,0.1902,0,0.1271,0,0,0.1102,0,0,0,0,0.1519,0.0156,0.0034,0.2278,0,0,0.8665,0.0127,0.4186,0.1031,0,0,0,0,0.121,0.0747,0,0.0431,0.0403,0.0756,0.1016,0.1685,0.1272,0.4385,0.0563,0.3563,0.1885,1.2995,0.661,0.214,0,0,0,0.0179,0.0393,0.1646,0.1487,0,0,0,0,0.0718,0,0.0182,0.0506,0.0748,0,0,0,0.1548,0,0.3798,0.3068,0.4169,0,0.0369,0,0,0.4438,0.327,0.1302,0.1444,0.1778,0.4618,0.0402
Hydroxydechloroatrazine ethylaminohydrolase,0.0307,0.3027,0.0398,0.0355,1.2983,0.6429,1.5263,2.6564,0.5569,0.6734,0,3.107,0.0524,0,0,0.3348,0,0,0,0,0.016,0,1.3306,0.0441,0.2418,0.772,0,0.0208,0.2284,2.3546,0,0,0.3209,0.8256,0,0.1454,1.8745,0.30620000000000003,0.3157,0.0296,0.9536,0.0975,0.0716,0.2865,0,0,0.8965,0,0,0.0721,0.0874,0.9155,0,0.0103,1.4469,0.9321,0,0,0.043,0.3454,0,1.6467,0.1355,0.0337,0.0234,0.7641,0.1086,0,0.341,0,0.1862,0.6572,0,0.1213,0.2125,0.1075,1.5827,0.1021,0,0.9423,0.2638,0.0439,0.1435,0.0176,0.2893,0,0,0.6189,0,1.4515,0,0.3908,0.4517,0.1844,0.1243,0,0,0,0,0.1976,2.1973,1.3217,0.3836,0,0,0,0.1578,0.0259,0.0269,0.5163,0,0,0,0,0.6077,1.2624,0.479,0.3069,0,0,0,0,0.0263,0,0.044,0,0,0.0909,0.3164,0.147,0.329,0,2.1548,0,0.0962,0.3114,0.5685,0.3895
RNA-directed DNA polymerase,10.951,2.0773,7.1675,14.2706,19.3557,33.1744,10.8569,5.9309,2.6155,7.6061,11.6017,8.9292,1.6496,8.2776,0.1006,13.5297,6.688,8.3251,16.6986,5.5228,10.6086,10.5417,22.3478,9.0846,11.1775,3.8522,5.7222,8.946,13.1963,5.2351,10.6102,7.5747,9.4618,7.9895,6.072,5.8075,2.7898,9.1345,10.6271,8.2032,9.7904,3.4164,9.0562,10.7741,9.5231,9.8748,5.9359,14.6565,9.1396,8.0433,12.7182,5.8048,11.1495,4.282,5.9642,3.2584,7.5358,9.3037,11.7247,7.2604,8.4777,5.0505,2.5659,20.6566,10.5908,6.9159,12.0494,7.9206,4.6963,8.4428,3.142,9.6588,5.2818,68.9193,12.8286,4.0266,6.8208,14.9012,14.0085,7.9574,8.3547,6.97,6.1902,8.3511,5.1258,6.9243,7.9536,15.266,5.0804,4.2978,18.4512,5.2505,11.4476,6.0481,6.3886,42.1945,8.2774,4.4411,12.8661,5.5852,3.3224,4.0817,12.5224,21.0101,3.893,17.9156,7.7405,4.9314,3.4931,10.5147,8.3518,7.2068,19.8385,0.0617,14.543,14.1725,18.4281,6.226,4.3388,5.3206,2.3905,4.8108,5.9002,21.3827,7.9238,13.251,29.993,10.6588,4.9736,9.6609,8.38,7.7939,11.9203,50.1255,16.524,7.7501,14.6819,10.4637
Zinc D-Ala-D-Ala carboxypeptidase,0.436,0.2385,0.5445,1.5333,0.853,2.0373,2.3026,0.7578,0.4961,0.3378,6.1942,0.5473,1.514,0.2589,0.003,0.3245,1.7135,2.6241,0.061,1.0056,1.2884,0.9585,0.3907,1.8788,1.038,0.6973,1.3416,1.062,1.0655,2.8114,2.2853,5.3203,0.8062,4.7913,0,1.8489,0.5923,2.7951,1.6422,0.4061,1.0164,0.1317,1.662,2.4252,0.7849,2.6993,0.0739,0.7928,2.6437,3.3016,1.3296,4.9527,2.7494,0,0.8651,0.321,0.0412,0.3055,4.0536,0,1.6402,0.2242,0,2.4656,2.335,0.5953,0.8926,2.7799,0.5432,1.9913,1.536,0.8035,3.0859,0.2573,1.9488,1.9517,0.7064,3.0547,3.1756,7.5974,6.0619,2.2194,0.1954,2.676,1.9666,0.3209,5.1746,0.0531,0.1815,0.7983,2.8369,1.89,2.1571,0.3664,8.367,2.6474,0.0532,1.7502,1.6092,1.0034,1.2508,2.0247,1.8656,0.3277,2.3678,0.0136,3.4609,0.3799,4.4555,2.5597,1.6873,1.242,4.6204,0,0.8115,0.9076,0.5193,1.015,0.2792,7.6841,5.5839,8.0249,2.9385,2.1439,1.4056,2.3866,2.6108,1.012,1.2502,0.4589,1.387,1.3365,0.4345,1.2487,2.4321,0.712,0.2683,2.5796
4-formylbenzenesulfonate dehydrogenase,0,0,0,0,0.0284,0.0414,0.0317,0.0271,0,1.4861,0,0.9328,0,0,0,0,0,0,0,0,0,0,0,0.0384,0.6021,0,0.7192,0,0.0154,0.1666,0,0,0.0593,0.8694,0,0.334,0.2075,0.1884,0.0233,0.4244,0.1064,0.1829,0.1751,0,0,0,0,0,0,0.1741,0,0.2854,0,0.3313,1.0314,0,0.0136,0,0.0907,0,0.1395,0.0762,0,0.2016,0,0.2889,0.0044,0.08,0,0,0.5753,0.4633,2.0072,0,0.0806,0.0075,0.1019,1.796,0.073,0.3859,0.4277,0.0577,0,0,0.0122,0.3785,0,0,0,0,0,0.2324,0.1712,0,0,0.2212,0,0.3078,0.0412,0.333,0.1606,0.8764,0.2426,0,0.1123,0,0.1746,0.0728,0.2328,0.1113,0.485,0,0,0,0.6252,0.256,0.248,0.5565,0,0,0.0224,0.0327,0.4343,0,0,0,0.2168,0.2108,0.0719,0,0.2288,0,0.0889,0,0.0289,0.0733,0,0
Hydroxymethylglutaryl-CoA lyase,0.6052,0.0097,0.9293,0.1298,0.0229,0.0362,0,0,0,1.9488,0.8644,0.04,0.1074,0.066,0.0015,0,0.1904,0.5072,0.3477,0,0,0.2764,0.2709,0,0.7361,0.5001,1.5715,0.0138,0.0347,0.1774,0.0304,0.2933,0.0289,0.038,0,0.0368,0,0.1105,0.1743,1.269,0,0.0314,0,0.2499,0.4935,0.2387,1.5971,0.0701,0.0517,0.2265,0,0.0801,0.3209,0.0334,0.084,0.3241,0.0318,0.2815,0.0281,1.1682,0.2171,0.1668,0.0325,0.5672,0.0543,0.3054,0,0.0575,0,0.2038,0,0.4473,0.2149,0,0.0259,0,0.0897,0.1003,0,0.1786,0.0398,0.0675,0.0484,1.7342,0,0.9297,0.976,0.4035,0.1487,0.1666,0.0798,0,0.0321,0.2906,0.1007,0,0.2646,0,0.0329,0,0,0,0,0.2747,0,0.4648,0.2593,0.6794,0,0,0.0836,0.0155,0.0291,0,0.0717,0.1468,0.0308,0.1245,0,0.0308,0.7127,0.1072,0.2341,0.8249,0.5768,1.123,0.9987,0.1724,0.0396,0.6001,0.0269,0.0474,0.0232,0.0672,0,0.0359,0.2643,0.2706
Ribitol-5-phosphate 2-dehydrogenase (NADP(+)),0.3783,0.6372,0.0677,0.0052,0.0119,0.0197,0.3025,2.3655,0,0.5573,0.3269,0.0682,0.8848,0.0953,0,0,0.132,0.3052,0.1301,0.0285,0.0489,0.0881,0,0.2986,0.1145,0.1427,0.0859,0.7564,0.1846,0.1771,0,0.9763,0.1275,0.2117,1.1527,0.0131,3.4693,0.2069,0.034,0.0739,1.7957,0.094,1.4361,1.1679,0.2208,0.4873,0,0.171,0.1255,0.2901,0.9391,0.022,0,0,0.4881,0.0453,0.0358,0.0859,0.3045,0,0.1266,3.5209,0,1.1481,0.0771,0.0727,0.5803,0.6681,0.6767,0.2746,0.2899,0.4162,0.0285,2.1498,0.1724,0.015,0.5348,0.5087,0.115,0.1351,0.6932,0.2917,2.9348,0.1582,0.0216,0.0907,0,0.1523,0.2566,0.3289,0.143,0.2594,0.2226,0.0893,0.0349,0,0.0177,0.0395,0.0622,0.0143,0.3974,0.3543,0.1837,0,0,0.0635,0.3676,0.3823,0.4956,0.0984,0,0.4685,0.1897,0.0062,0.1415,0.049,0.0739,0.4556,1.4218,0.0271,0.1677,0.1256,2.4917,0.8205,1.0636,0.1672,0,0,0.0054,0,2.9268,0,2.8183,1.3279,0.7258,0.5898,0.6272,0.8136
D-ribitol-5-phosphate cytidylyltransferase,0.5889,0.6564,0.052,0.0323,0.1343,0.1019,0.1697,2.4148,0,0.7357,0.3229,0.0443,1.0537,0.2389,0,0,0,0.3181,0.0938,0.0227,0.3428,0.0393,0.1267,0.2724,0.0862,0.0542,0.2063,0.9514,0.1658,0.4047,0.0945,0.9136,0.1129,0.7403,1.1612,0.0662,4.0525,0.2396,0.0297,0.0935,1.5258,0.1398,1.6205,0.8984,0.1982,0.4072,0,0.2514,0.2128,0.9398,0.9942,0.6714,0.0846,0,0.4207,0.1211,0.0086,0.1386,0.385,0.0138,0.1604,3.6132,0,1.3315,0.1789,0.0868,0.7856,0.7385,0.7167,0.2758,0.3426,0.3651,0.0286,2.8945,0.2596,0.053900000000000003,1.0054,0.6467,0.0922,0.1047,0.6238,0.265,2.8585,0.1466,0.005,0.5153,0,0.0422,0.2072,0.2878,0.246,0.4045,0.2104,0.1788,0.3295,0,0.0182,0.9997,0.1299,0.0253,0.8496,2.4784,0.1878,0,0,0.018,0.271,0.7754,0.4901,0.0933,0,0.541,0.1022,0.0039,0.2348,0.0888,0.0381,0.6955,1.379,0.2774,0.0697,0.159,2.5931,1.0415,1.1267,0.1189,0,0,0.0128,0,3.4928,0.0366,2.9561,1.5725,1.01,0.7194,0.6521,0.7802
Chloride peroxidase,0.5622,0.139,0,0.0689,0.0236,0,0.053900000000000003,0.0502,0,0.6741,0.8235,0.0269,0,0.1461,0,0,0.149,0.1584,0.2755,0.1051,0.6683,0.2949,0.1759,0.1659,0.4022,0.3307,0.3936,0,0.1673,0.1289,0.3076,0.1439,0.3579,0.0869,0,0.0096,0,0.4609,0.3602,0.6126,0.2,0,0.7476,0.1904,0.2512,0.2549,0.2161,0.1533,0.1065,0.1995,0.0144,0.0398,0.1919,0.0181,0.1394,0.2696,0.1063,0.4123,0.2673,0.0278,0.0473,0.044,0.0497,0.7321,0.1906,0.1615,0.1588,0.0989,0.2698,0.4032,0.2894,0.1607,0.2979,0,0.0391,1.6956,0.044,0.1559,0,0.0995,0.0363,0.1384,0.0408,0.0498,0,0.3821,0.3216,0.0794,0.1802,0.0567,0.0234,0.1375,0.0661,0.0783,0.3108,0,0.1674,0.0081,0.2316,0.0088,0,0.0452,0,0.1977,0,0.145,0.2211,0.1134,0.3454,0.0181,0.2418,0,0.0969,0.0223,0.0894,0.1041,0.141,0.0312,0.0642,0.4851,0.1893,0.3336,0.5291,0.2649,0.1826,0.3909,0.2489,0.0145,0,0.3774,0.2779,0.1173,0.0476,0.1264,0.1451,0.1686,0.2468,0.2176
3-oxosteroid 1-dehydrogenase,1.5032,0.0104,0.14,2.0038,0.2732,0.4075,1.1406,1.136,0,0.2889,0,0.0324,0,0.0288,0.0026,0,3.3334,1.3077,1.3996,0.2917,0.0629,0.8572,0.0703,0.4257,0.0285,0.0759,0,0.3768,0.6232,0.7091,1.2416,2.8097,0.8937,0.4902,0.1509,0,0.2816,0.4134,0.6388,4.2484,0.3023,0.4027,0.6333,0.1524,0.2969,1.1886,0.1612,1.9538,0.5386,1.2376,0.2272,0.371,0.1116,0.1058,0.7185,0,0,1.823,0.8267,1.8613,2.0326,0.3316,0,0,0.3875,1.8422,0,1.5563,1.2668,2.0927,0.194,2.6493,0.553,0,0.6992,10.1718,1.3339,0.487,0.577,0.1188,0.8412,0.7906,0,0.5675,0,0,0.4355,1.4016,0.1643,0.0352,0.1877,2.3519,0.4492,0,0,0.4262,1.5633,0.5528,0.8457,0.0664,0.5562,0.4917,0.0583,0,1.5686,0.0316,0.2668,0.1594,0.2432,1.3979,0.252,2.2935,2.433,0.0217,0.9894,0.6146,1.6913,1.333,0.2928,3.8754,2.0982,1.0887,0.6803,0.6515,0.8796,0.2478,0.3059,0,0,0,0.7147,0.9071,0.2281,0.2186,0.2737,0.1017,0.3033,0.416
