Feature,SampleID_1,SampleID_10,SampleID_100,SampleID_101,SampleID_102,SampleID_103,SampleID_104,SampleID_105,SampleID_11,SampleID_110,SampleID_112,SampleID_113,SampleID_142,SampleID_144,SampleID_148,SampleID_154,SampleID_17,SampleID_18,SampleID_2,SampleID_20,SampleID_207,SampleID_210,SampleID_211,SampleID_213,SampleID_217,SampleID_219,SampleID_220,SampleID_225,SampleID_227,SampleID_228,SampleID_231,SampleID_232,SampleID_233,SampleID_235,SampleID_236,SampleID_24,SampleID_240,SampleID_241,SampleID_243,SampleID_248,SampleID_249,SampleID_25,SampleID_250,SampleID_256,SampleID_258,SampleID_262,SampleID_264,SampleID_265,SampleID_272,SampleID_274,SampleID_28,SampleID_286,SampleID_29,SampleID_293,SampleID_294,SampleID_297,SampleID_298,SampleID_3,SampleID_301,SampleID_304,SampleID_305,SampleID_308,SampleID_311,SampleID_312,SampleID_315,SampleID_317,SampleID_319,SampleID_323,SampleID_326,SampleID_33,SampleID_333,SampleID_334,SampleID_335,SampleID_337,SampleID_338,SampleID_339,SampleID_340,SampleID_343,SampleID_344,SampleID_354,SampleID_358,SampleID_363,SampleID_364,SampleID_365,SampleID_367,SampleID_368,SampleID_371,SampleID_373,SampleID_378,SampleID_379,SampleID_380,SampleID_383,SampleID_384,SampleID_386,SampleID_387,SampleID_39,SampleID_4,SampleID_40,SampleID_41,SampleID_44,SampleID_45,SampleID_46,SampleID_47,SampleID_49,SampleID_5,SampleID_50,SampleID_52,SampleID_55,SampleID_56,SampleID_59,SampleID_6,SampleID_62,SampleID_63,SampleID_64,SampleID_68,SampleID_69,SampleID_70,SampleID_72,SampleID_77,SampleID_78,SampleID_8,SampleID_82,SampleID_85,SampleID_88,SampleID_90,SampleID_91,SampleID_93,SampleID_94,SampleID_97,SampleID_98,SampleID_116,SampleID_136,SampleID_137,SampleID_140,SampleID_141,SampleID_143,SampleID_242,SampleID_328
p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus,0,0,0,0,0,0,0,0,0,0,0,2.60000182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293000117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.593999222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia|s__Senegalimassilia_anaerobia,0,0,1.022999898,0,1.584000634,2.896998552,6.303001891,3.73300112,0,0,0,0,0,0,0,0,2.762001105,0.674000135,0,0,0,0,0,4.902001471,0,0,0,31.22901561,2.507,0.458999954,2.097000419,0,1.273000509,0,0,0,0,0.060000042,0.912000091,0,1.30300013,0,0.035999975,8.408996636,0.167000033,0,0,21.01201261,2.589999741,0.218999956,39.15898434,0,0,0,0,0,10.971,0,4.846998061,0,0,3.436998969,0,0.888999644,2.17,0,0,0,0,0,5.544998337,0,0,0,0.757000303,2.514001508,0,9.30400093,0,0,0,3.117000935,0,0.014000007,0.631000126,0,0,0,0,0,10.32500516,0,0,0,0,0,0,0.083,0,0,0,0.942000565,0,0,0,0,7.416002966,0,0,0,0.873999738,0,0,0,0,0,0,0,0,0.865,0,3.24,0.270999973,0,0,0,0,0,0,0,0.414,0.607999878,1.141000114,0,0,0,0,1.837999632
p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriia_unclassified|f__Coriobacteriia_unclassified|g__Coriobacteriia_unclassified|s__Coriobacteriia_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93400118,0.026000008,0,0,0,43.18002159,0,0,0,0,0,0,0,0,0,0,0,0,0.053000005,0,6.047995766,0,0,0,0,0,0,0,27.59298896,0,0,0,0,0,0,0,0.242999903,2.697,0,53.80898386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.661006763,0,0,0,0,0,0,0,0,0,0,6.618997352,24.522,0,0,2.790999163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.356999129
p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__GGB5997|s__GGB5997_SGB8620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.592001796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.297999081,0,0,0,0,0,0,5.346997861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_SGB15299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.689001076,0,0,356.3401782,0,0,0,0,0,0,0,0,0,0,0,0,3.271000327,0,0,100.8569597,0,0,0,0,0,0,254.3238983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020999987,0,364.6270365,0,0,0,0,0,0,24.74199505,7.572003786,0,0,0,18.38099632,0,0,0,0,0,0,0,0.779999376,0,0,0,19.65200786,50.81402033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.065,0,0,0,3.213999357,1.828000183,0,9.65099807
p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9590|s__GGB9590_SGB15012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.178000953,0,0,0,0,10.52400526,0,0,0,0,0,5.572001672,0,0,0,0,0,0,0,0,0,16.31599347,0,0,0,0,0,0,6.622997351,0.331000199,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.105000211,0,1.192000358,0,0,0,0,0,0,0,0.962999615,0,0,2.075001038,0,0,0.469000188,0,0,0,0,0,0,0,0.090000054,0.069999944,0,0,0,1.215000486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9608|s__GGB9608_SGB15041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.923004754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945000584,0,0,7.675000768,0,0,0,0,0,0,0.30199994,0,0,0,0,0,0,0,0,0,0,9.997006998,8.144004886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.85199423
p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Pseudolachnospira|s__Candidatus_Pseudolachnospira_avium,0,0,0,0,0,2.342998829,1.221000366,5.676001703,0,0,0,0.113000079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275000028,0,0,0,0,0,0,0,0.145999985,0,0,0.954000572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181999891,0,0,0.198999881,0.321000064,0,0,0,0,0,0,0,0.10400001,0,0,0,0,0,0,0,0.114000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.052000736,0.297000178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487999902,0,0,0,0,0,0,0,0,0,0,0,5.033,0,0,0,0,0,0,4.85199903
p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_unclassified_SGB4317,0,0,0,0,0,14.91499254,111.9150336,1002.495301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.7118238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.93998762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.4788333,10.16800407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.2519743,0,0,0
p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Heritagella|s__Candidatus_Heritagella_gallinarum,0,0,0,0,0.414000166,4.277997861,0,14.3400043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
